FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G21.Day3,G21,Before_Diet,3,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G21.Day7,G21,Before_Diet,7,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H11.Day1,H11,After_Diet,1,285,0.022028134178389242
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H11.Day3,H11,After_Diet,3,529,0.037807318467695826
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H11.Day7,H11,After_Diet,7,12,9.699321047526673e-4
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H12.Day1,H12,After_Diet,1,238,0.018920422927100722
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H12.Day3,H12,After_Diet,3,2317,0.17179506191147031
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H12.Day7,H12,After_Diet,7,896,0.06767371601208459
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H13.Day1,H13,After_Diet,1,123,0.008907234412339779
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H13.Day3,H13,After_Diet,3,1084,0.08346165691407453
0e1ecedf64d4390cd454c96039e9767d,MOUSE.H13.Day7,H13,After_Diet,7,334,0.028261973261127095
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G11.Day1,G11,Before_Diet,1,1557,0.11271174171130736
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G11.Day3,G11,Before_Diet,3,0,0
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G12.Day1,G12,Before_Diet,1,826,0.07330493432729854
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G12.Day3,G12,Before_Diet,3,0,0
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G21.Day1,G21,Before_Diet,1,1070,0.0896222464192981
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G21.Day3,G21,Before_Diet,3,0,0
135c9e2817133d79b2dabc3a0a18eefc,MOUSE.G21.Day7,G21,Before_Diet,7,0,0
